time,HI
2003-06-24,25.547000000000004
2003-06-25,24.771
2003-06-26,24.902
2003-06-27,25.9
2003-06-28,25.677
2003-06-29,25.008000000000003
2003-06-30,24.272
2003-07-01,25.441000000000003
2003-07-02,24.652
2003-07-03,25.493
2003-07-04,25.335
2003-07-05,25.951
2003-07-06,26.109
2003-07-07,24.377
2003-07-08,23.865
2003-07-09,24.679
2003-07-10,24.980000000000004
2003-07-11,24.548
2003-07-12,25.087000000000003
2003-07-13,24.364000000000004
2003-07-14,24.914
2003-07-15,26.53
2003-07-16,25.494
2003-07-17,25.755000000000003
2003-07-18,25.913000000000004
2003-07-19,26.228
2003-07-20,26.399
2003-07-21,26.03100000000001
2003-07-22,26.017000000000003
2003-07-23,27.040822485700005
2003-07-24,25.127
2003-07-25,24.47
2003-07-26,24.548
2003-07-27,25.402
2003-07-28,26.137
2003-07-29,26.019
2003-07-30,26.6543750724
2003-07-31,25.388
2003-08-01,23.131
2003-08-02,23.972
2003-08-03,24.273000000000003
2003-08-04,24.785000000000004
2003-08-05,24.851000000000003
2003-08-06,23.93
2003-08-07,24.02200000000001
2003-08-08,24.785000000000004
2003-08-09,24.01
2003-08-10,24.207
2003-08-11,25.336
2003-08-12,25.979000000000003
2003-08-13,24.731
2003-08-14,25.388
2003-08-15,27.3861108896
2003-08-16,23.731
2003-08-17,27.95622353359997
2003-08-18,26.357
2003-08-19,27.9035015284
2003-08-20,26.594
2003-08-21,25.756
2003-08-22,25.114
2003-08-23,24.469
2003-08-24,23.969
2003-08-25,24.129
2003-08-26,24.771
2003-08-27,24.614000000000004
2003-08-28,24.166
2003-08-29,25.218
2003-08-30,25.244
2003-08-31,25.612
2003-09-01,25.126
2003-09-02,25.388
2003-09-03,25.69
2003-09-04,26.136000000000003
2003-09-05,25.637
2003-09-06,26.018
2003-09-07,26.057
2003-09-08,26.502
2003-09-09,26.068
2003-09-10,27.3198309196
2003-09-11,26.45
2003-09-12,26.478
2003-09-13,26.279
2003-09-14,25.963
2003-09-15,25.216
2003-09-16,25.019
2003-09-17,24.378
2003-09-18,25.255000000000003
2003-09-19,26.659
2003-09-20,25.611000000000004
2003-09-21,26.162
2003-09-22,26.542
2003-09-23,26.161
2003-09-24,25.767000000000003
2003-09-25,26.476
2003-09-26,26.344
2003-09-27,27.21238226930003
2003-09-28,27.1015583911
2003-09-29,27.040822485700005
2003-09-30,25.546
2003-10-01,24.758000000000003
2003-10-02,25.729000000000003
2003-10-03,26.188
2003-10-04,26.489
2003-10-05,26.228
2003-10-06,26.477000000000004
2003-10-07,26.096000000000004
2003-10-08,25.334000000000003
2003-10-09,25.57
2003-10-10,26.070000000000004
2003-10-11,26.371
2003-10-12,27.648129074000007
2003-10-13,27.51043797
2003-10-14,28.835898474999983
2003-10-15,29.589908441999995
2003-10-16,28.69036554709999
2003-10-17,28.696141735599987
2003-10-18,28.79744008789998
2003-10-19,29.018967971600027
2003-10-20,28.23271160439998
2003-10-21,28.36678122000004
2003-10-22,28.266356822800013
2003-10-23,28.03504535839997
2003-10-24,27.839286436399984
2003-10-25,27.86677368879996
2003-10-26,28.40483403
2003-10-27,26.161
2003-10-28,27.889016096000027
2003-10-29,27.992320707999944
2003-10-30,27.74825927199999
2003-10-31,26.24
2003-11-01,26.24
2003-11-02,26.319000000000003
2003-11-03,27.78035396750001
2003-11-04,27.643081064999976
2003-11-05,27.8987605595
2003-11-06,29.654432225600004
2003-11-07,29.12156268250001
2003-11-08,29.754935442399955
2003-11-09,29.017527787400024
2003-11-10,29.551542895300013
2003-11-11,29.13945091399997
2003-11-12,29.927502754399978
2003-11-13,26.095
2003-11-14,28.51567677359996
2003-11-15,29.40738699840003
2003-11-16,28.36678122000004
2003-11-17,28.95399269749999
2003-11-18,30.765302172399984
2003-11-19,29.39477581039997
2003-11-20,29.2918652842
2003-11-21,29.53473608509999
2003-11-22,28.755444830500004
2003-11-23,31.07702348000001
2003-11-24,29.01674339150004
2003-11-25,31.149088692499987
2003-11-26,29.48739844159999
2003-11-27,30.050635779200007
2003-11-28,30.421527866499986
2003-11-29,30.738617020000014
2003-11-30,30.01889362440002
2003-12-01,30.72366702799998
2003-12-02,30.517480471599995
2003-12-03,30.299440294099973
2003-12-04,30.47631004800002
2003-12-05,30.01889362440002
2003-12-06,29.572003070799987
2003-12-07,31.567793186
2003-12-08,32.852614270500005
2003-12-09,31.85186094450001
2003-12-10,31.236789115600025
2003-12-11,30.133260389
2003-12-12,29.43402962089997
2003-12-13,31.698548762800023
2003-12-14,32.734092460000056
2003-12-15,33.252502199399984
2003-12-16,31.88484369320005
2003-12-17,31.40023032500001
2003-12-18,30.27354089870001
2003-12-19,31.0318752752
2003-12-20,33.03012998810001
2003-12-21,30.946256108
2003-12-22,31.3858045238
2003-12-23,29.671513952999987
2003-12-24,31.86760126519998
2003-12-25,32.062003711599985
2003-12-26,30.6076026713
2003-12-27,30.402574903999987
2003-12-28,28.69848995999999
2003-12-29,32.08357430400001
